;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 15/04/2022 18:39:38
;----------------------------------------------

;Address Opcode 	ASM
0x0654	0x0270      	SUBWF      R0, 0
0x0655	0x1C03      	BTFSS      STATUS, 0
0x0656	0x2E58      	GOTO       L__FloatToStr148
0x0657	0x2E5F      	GOTO       L_FloatToStr100
L__FloatToStr148:
;__Lib_Conversions.c,586 :: 		
0x0658	0x0844      	MOVF       FARG_FloatToStr_str, 0
0x0659	0x0084      	MOVWF      FSR
0x065A	0x302E      	MOVLW      46
0x065B	0x0080      	MOVWF      INDF
0x065C	0x0AC4      	INCF       FARG_FloatToStr_str, 1
;__Lib_Conversions.c,587 :: 		
0x065D	0x3001      	MOVLW      1
0x065E	0x00CB      	MOVWF      FloatToStr_bpoint_L0
;__Lib_Conversions.c,588 :: 		
L_FloatToStr100:
;__Lib_Conversions.c,589 :: 		
0x065F	0x3006      	MOVLW      6
0x0660	0x00C6      	MOVWF      FloatToStr_d_L0
L_FloatToStr101:
0x0661	0x0846      	MOVF       FloatToStr_d_L0, 0
0x0662	0x3A00      	XORLW      0
0x0663	0x1903      	BTFSC      STATUS, 2
0x0664	0x2EBD      	GOTO       L_FloatToStr102
;__Lib_Conversions.c,590 :: 		
0x0665	0x01CA      	CLRF       FloatToStr_un_L0+3
;__Lib_Conversions.c,591 :: 		
0x0666	0x0847      	MOVF       FloatToStr_un_L0, 0
0x0667	0x00F0      	MOVWF      R0
0x0668	0x0848      	MOVF       FloatToStr_un_L0+1, 0
0x0669	0x00F1      	MOVWF      R0+1
0x066A	0x0849      	MOVF       FloatToStr_un_L0+2, 0
0x066B	0x00F2      	MOVWF      R0+2
0x066C	0x084A      	MOVF       FloatToStr_un_L0+3, 0
0x066D	0x00F3      	MOVWF      R0+3
0x066E	0x0DF0      	RLF        R0, 1
0x066F	0x0DF1      	RLF        R0+1, 1
0x0670	0x0DF2      	RLF        R0+2, 1
0x0671	0x0DF3      	RLF        R0+3, 1
0x0672	0x1070      	BCF        R0, 0
0x0673	0x0DF0      	RLF        R0, 1
0x0674	0x0DF1      	RLF        R0+1, 1
0x0675	0x0DF2      	RLF        R0+2, 1
0x0676	0x0DF3      	RLF        R0+3, 1
0x0677	0x1070      	BCF        R0, 0
0x0678	0x0847      	MOVF       FloatToStr_un_L0, 0
0x0679	0x07F0      	ADDWF      R0, 1
0x067A	0x0848      	MOVF       FloatToStr_un_L0+1, 0
0x067B	0x1803      	BTFSC      STATUS, 0
0x067C	0x0F48      	INCFSZ     FloatToStr_un_L0+1, 0
0x067D	0x07F1      	ADDWF      R0+1, 1
0x067E	0x0849      	MOVF       FloatToStr_un_L0+2, 0
0x067F	0x1803      	BTFSC      STATUS, 0
0x0680	0x0F49      	INCFSZ     FloatToStr_un_L0+2, 0
0x0681	0x07F2      	ADDWF      R0+2, 1
0x0682	0x084A      	MOVF       FloatToStr_un_L0+3, 0
0x0683	0x1803      	BTFSC      STATUS, 0
0x0684	0x0F4A      	INCFSZ     FloatToStr_un_L0+3, 0
0x0685	0x07F3      	ADDWF      R0+3, 1
0x0686	0x0870      	MOVF       R0, 0
0x0687	0x00C7      	MOVWF      FloatToStr_un_L0
0x0688	0x0871      	MOVF       R0+1, 0
0x0689	0x00C8      	MOVWF      FloatToStr_un_L0+1
0x068A	0x0872      	MOVF       R0+2, 0
0x068B	0x00C9      	MOVWF      FloatToStr_un_L0+2
0x068C	0x0873      	MOVF       R0+3, 0
0x068D	0x00CA      	MOVWF      FloatToStr_un_L0+3
;__Lib_Conversions.c,592 :: 		
0x068E	0x0847      	MOVF       FloatToStr_un_L0, 0
0x068F	0x00F0      	MOVWF      R0
0x0690	0x0848      	MOVF       FloatToStr_un_L0+1, 0
0x0691	0x00F1      	MOVWF      R0+1
0x0692	0x0849      	MOVF       FloatToStr_un_L0+2, 0
0x0693	0x00F2      	MOVWF      R0+2
0x0694	0x084A      	MOVF       FloatToStr_un_L0+3, 0
0x0695	0x00F3      	MOVWF      R0+3
0x0696	0x0DF0      	RLF        R0, 1
0x0697	0x0DF1      	RLF        R0+1, 1
0x0698	0x0DF2      	RLF        R0+2, 1
0x0699	0x0DF3      	RLF        R0+3, 1
0x069A	0x1070      	BCF        R0, 0
0x069B	0x0870      	MOVF       R0, 0
0x069C	0x00C7      	MOVWF      FloatToStr_un_L0
0x069D	0x0871      	MOVF       R0+1, 0
0x069E	0x00C8      	MOVWF      FloatToStr_un_L0+1
0x069F	0x0872      	MOVF       R0+2, 0
0x06A0	0x00C9      	MOVWF      FloatToStr_un_L0+2
0x06A1	0x0873      	MOVF       R0+3, 0
0x06A2	0x00CA      	MOVWF      FloatToStr_un_L0+3
;__Lib_Conversions.c,593 :: 		
0x06A3	0x084A      	MOVF       FloatToStr_un_L0+3, 0
0x06A4	0x3E30      	ADDLW      48
0x06A5	0x00F0      	MOVWF      R0
0x06A6	0x0844      	MOVF       FARG_FloatToStr_str, 0
0x06A7	0x0084      	MOVWF      FSR
0x06A8	0x0870      	MOVF       R0, 0
0x06A9	0x0080      	MOVWF      INDF
0x06AA	0x0AC4      	INCF       FARG_FloatToStr_str, 1
;__Lib_Conversions.c,594 :: 		
0x06AB	0x084B      	MOVF       FloatToStr_bpoint_L0, 0
0x06AC	0x3A00      	XORLW      0
0x06AD	0x1D03      	BTFSS      STATUS, 2
0x06AE	0x2EBB      	GOTO       L_FloatToStr104
;__Lib_Conversions.c,595 :: 		
0x06AF	0x03CC      	DECF       FloatToStr_dexpon_L0, 1
0x06B0	0x084C      	MOVF       FloatToStr_dexpon_L0, 0
0x06B1	0x3A00      	XORLW      0
0x06B2	0x1D03      	BTFSS      STATUS, 2
0x06B3	0x2EBB      	GOTO       L_FloatToStr105
;__Lib_Conversions.c,596 :: 		
0x06B4	0x0844      	MOVF       FARG_FloatToStr_str, 0
0x06B5	0x0084      	MOVWF      FSR
0x06B6	0x302E      	MOVLW      46
0x06B7	0x0080      	MOVWF      INDF
0x06B8	0x0AC4      	INCF       FARG_FloatToStr_str, 1
;__Lib_Conversions.c,597 :: 		
0x06B9	0x3001      	MOVLW      1
0x06BA	0x00CB      	MOVWF      FloatToStr_bpoint_L0
;__Lib_Conversions.c,598 :: 		
L_FloatToStr105:
L_FloatToStr104:
;__Lib_Conversions.c,589 :: 		
0x06BB	0x03C6      	DECF       FloatToStr_d_L0, 1
;__Lib_Conversions.c,599 :: 		
0x06BC	0x2E61      	GOTO       L_FloatToStr101
L_FloatToStr102:
;__Lib_Conversions.c,600 :: 		
L_FloatToStr106:
0x06BD	0x30FF      	MOVLW      255
0x06BE	0x0744      	ADDWF      FARG_FloatToStr_str, 0
0x06BF	0x0084      	MOVWF      FSR
0x06C0	0x0800      	MOVF       INDF, 0
0x06C1	0x3A30      	XORLW      48
0x06C2	0x1D03      	BTFSS      STATUS, 2
0x06C3	0x2EC6      	GOTO       L_FloatToStr107
;__Lib_Conversions.c,601 :: 		
0x06C4	0x03C4      	DECF       FARG_FloatToStr_str, 1
0x06C5	0x2EBD      	GOTO       L_FloatToStr106
L_FloatToStr107:
;__Lib_Conversions.c,602 :: 		
0x06C6	0x30FF      	MOVLW      255
0x06C7	0x0744      	ADDWF      FARG_FloatToStr_str, 0
0x06C8	0x0084      	MOVWF      FSR
0x06C9	0x0800      	MOVF       INDF, 0
0x06CA	0x3A2E      	XORLW      46
0x06CB	0x1D03      	BTFSS      STATUS, 2
0x06CC	0x2ECE      	GOTO       L_FloatToStr108
;__Lib_Conversions.c,603 :: 		
0x06CD	0x03C4      	DECF       FARG_FloatToStr_str, 1
L_FloatToStr108:
;__Lib_Conversions.c,604 :: 		
0x06CE	0x084C      	MOVF       FloatToStr_dexpon_L0, 0
0x06CF	0x3A00      	XORLW      0
0x06D0	0x1903      	BTFSC      STATUS, 2
0x06D1	0x2F0D      	GOTO       L_FloatToStr109
;__Lib_Conversions.c,605 :: 		
0x06D2	0x0844      	MOVF       FARG_FloatToStr_str, 0
0x06D3	0x0084      	MOVWF      FSR
0x06D4	0x3065      	MOVLW      101
0x06D5	0x0080      	MOVWF      INDF
0x06D6	0x0AC4      	INCF       FARG_FloatToStr_str, 1
;__Lib_Conversions.c,606 :: 		
0x06D7	0x3080      	MOVLW      128
0x06D8	0x064C      	XORWF      FloatToStr_dexpon_L0, 0
0x06D9	0x00F0      	MOVWF      R0
0x06DA	0x3080      	MOVLW      128
0x06DB	0x3A00      	XORLW      0
0x06DC	0x0270      	SUBWF      R0, 0
0x06DD	0x1803      	BTFSC      STATUS, 0
0x06DE	0x2EE7      	GOTO       L_FloatToStr110
;__Lib_Conversions.c,607 :: 		
0x06DF	0x0844      	MOVF       FARG_FloatToStr_str, 0
0x06E0	0x0084      	MOVWF      FSR
0x06E1	0x302D      	MOVLW      45
0x06E2	0x0080      	MOVWF      INDF
0x06E3	0x0AC4      	INCF       FARG_FloatToStr_str, 1
;__Lib_Conversions.c,608 :: 		
0x06E4	0x084C      	MOVF       FloatToStr_dexpon_L0, 0
0x06E5	0x3C00      	SUBLW      0
0x06E6	0x00CC      	MOVWF      FloatToStr_dexpon_L0
;__Lib_Conversions.c,609 :: 		
L_FloatToStr110:
;__Lib_Conversions.c,610 :: 		
0x06E7	0x084C      	MOVF       FloatToStr_dexpon_L0, 0
0x06E8	0x00C6      	MOVWF      FloatToStr_d_L0
;__Lib_Conversions.c,611 :: 		
0x06E9	0x3080      	MOVLW      128
0x06EA	0x3A09      	XORLW      9
0x06EB	0x00F0      	MOVWF      R0
0x06EC	0x3080      	MOVLW      128
0x06ED	0x064C      	XORWF      FloatToStr_dexpon_L0, 0
0x06EE	0x0270      	SUBWF      R0, 0
0x06EF	0x1803      	BTFSC      STATUS, 0
0x06F0	0x2EFE      	GOTO       L_FloatToStr111
;__Lib_Conversions.c,612 :: 		
0x06F1	0x300A      	MOVLW      10
0x06F2	0x00F4      	MOVWF      R4
0x06F3	0x0846      	MOVF       FloatToStr_d_L0, 0
0x06F4	0x00F0      	MOVWF      R0
0x06F5	0x2482      	CALL       _Div_8X8_S
0x06F6	0x3030      	MOVLW      48
0x06F7	0x07F0      	ADDWF      R0, 1
0x06F8	0x1683      	BSF        STATUS, 5
0x06F9	0x0844      	MOVF       FARG_FloatToStr_str, 0
0x06FA	0x0084      	MOVWF      FSR
0x06FB	0x0870      	MOVF       R0, 0
0x06FC	0x0080      	MOVWF      INDF
0x06FD	0x0AC4      	INCF       FARG_FloatToStr_str, 1
L_FloatToStr111:
;__Lib_Conversions.c,613 :: 		
0x06FE	0x300A      	MOVLW      10
0x06FF	0x00F4      	MOVWF      R4
0x0700	0x0846      	MOVF       FloatToStr_d_L0, 0
0x0701	0x00F0      	MOVWF      R0
0x0702	0x2482      	CALL       _Div_8X8_S
0x0703	0x0878      	MOVF       R8, 0
0x0704	0x00F0      	MOVWF      R0
0x0705	0x3030      	MOVLW      48
0x0706	0x07F0      	ADDWF      R0, 1
0x0707	0x1683      	BSF        STATUS, 5
0x0708	0x0844      	MOVF       FARG_FloatToStr_str, 0
0x0709	0x0084      	MOVWF      FSR
0x070A	0x0870      	MOVF       R0, 0
0x070B	0x0080      	MOVWF      INDF
0x070C	0x0AC4      	INCF       FARG_FloatToStr_str, 1
;__Lib_Conversions.c,614 :: 		
L_FloatToStr109:
;__Lib_Conversions.c,615 :: 		
0x070D	0x0844      	MOVF       FARG_FloatToStr_str, 0
0x070E	0x0084      	MOVWF      FSR
0x070F	0x0180      	CLRF       INDF
;__Lib_Conversions.c,616 :: 		
0x0710	0x01F0      	CLRF       R0
;__Lib_Conversions.c,617 :: 		
L_end_FloatToStr:
0x0711	0x0008      	RETURN
; end of _FloatToStr
_Div_32x32_FP:
;__Lib_MathDouble.c,761 :: 		
;__Lib_MathDouble.c,773 :: 		
;__Lib_MathDouble.c,776 :: 		
0x0712	0x1283      	BCF        STATUS, 5
0x0713	0x1303      	BCF        STATUS, 6
0x0714	0x0874      	MOVF       R4, 0
0x0715	0x3A00      	XORLW      0
0x0716	0x1D03      	BTFSS      STATUS, 2
0x0717	0x2F2D      	GOTO       L_Div_32x32_FP7
;__Lib_MathDouble.c,777 :: 		
0x0718	0x0875      	MOVF       R5, 0
0x0719	0x3A00      	XORLW      0
0x071A	0x1D03      	BTFSS      STATUS, 2
0x071B	0x2F2D      	GOTO       L_Div_32x32_FP8
;__Lib_MathDouble.c,778 :: 		
0x071C	0x0876      	MOVF       R6, 0
0x071D	0x3A00      	XORLW      0
0x071E	0x1D03      	BTFSS      STATUS, 2
0x071F	0x2F2D      	GOTO       L_Div_32x32_FP9
;__Lib_MathDouble.c,779 :: 		
0x0720	0x0877      	MOVF       R7, 0
0x0721	0x3A00      	XORLW      0
0x0722	0x1D03      	BTFSS      STATUS, 2
0x0723	0x2F2D      	GOTO       L_Div_32x32_FP10
;__Lib_MathDouble.c,780 :: 		
0x0724	0x30FF      	MOVLW      255
0x0725	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,781 :: 		
0x0726	0x30FF      	MOVLW      255
0x0727	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,782 :: 		
0x0728	0x307F      	MOVLW      127
0x0729	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,783 :: 		
0x072A	0x30FF      	MOVLW      255
0x072B	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,784 :: 		
0x072C	0x2FC8      	GOTO       L_end_Div_32x32_FP
;__Lib_MathDouble.c,785 :: 		
L_Div_32x32_FP10:
L_Div_32x32_FP9:
L_Div_32x32_FP8:
L_Div_32x32_FP7:
;__Lib_MathDouble.c,788 :: 		
0x072D	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,789 :: 		
0x072E	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,791 :: 		
0x072F	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,792 :: 		
0x0730	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,793 :: 		
0x0731	0x2FBC      	GOTO       JPDSETFDZ32
;__Lib_MathDouble.c,795 :: 		
0x0732	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,796 :: 		
0x0733	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,797 :: 		
0x0734	0x2FBF      	GOTO       JPDRES032
;__Lib_MathDouble.c,799 :: 		
0x0735	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,800 :: 		
0x0736	0x0676      	XORWF      R6, 0
;__Lib_MathDouble.c,801 :: 		
0x0737	0x3980      	ANDLW      128
;__Lib_MathDouble.c,802 :: 		
0x0738	0x00FA      	MOVWF      R10
;__Lib_MathDouble.c,803 :: 		
0x0739	0x17F2      	BSF        R2, 7
;__Lib_MathDouble.c,804 :: 		
0x073A	0x17F6      	BSF        R6, 7
;__Lib_MathDouble.c,806 :: 		
0x073B	0x01A0      	CLRF       __math_tempbD
;__Lib_MathDouble.c,807 :: 		
0x073C	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,808 :: 		
0x073D	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,809 :: 		
0x073E	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,810 :: 		
0x073F	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,811 :: 		
0x0740	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,812 :: 		
0x0741	0x00FD      	MOVWF      R13
;__Lib_MathDouble.c,814 :: 		
0x0742	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,815 :: 		
0x0743	0x02FD      	SUBWF      R13, 1
;__Lib_MathDouble.c,816 :: 		
0x0744	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,817 :: 		
0x0745	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,818 :: 		
0x0746	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,820 :: 		
0x0747	0x02FC      	SUBWF      R12, 1
;__Lib_MathDouble.c,821 :: 		
0x0748	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,822 :: 		
0x0749	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,823 :: 		
0x074A	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,825 :: 		
0x074B	0x02F8      	SUBWF      R8, 1
;__Lib_MathDouble.c,826 :: 		
0x074C	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,827 :: 		
0x074D	0x01FC      	CLRF       R12
;__Lib_MathDouble.c,828 :: 		
0x074E	0x01FD      	CLRF       R13
;__Lib_MathDouble.c,829 :: 		
0x074F	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,830 :: 		
0x0750	0x2F58      	GOTO       DALIGN32OK
;__Lib_MathDouble.c,832 :: 		
0x0751	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,833 :: 		
0x0752	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,834 :: 		
0x0753	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,835 :: 		
0x0754	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,836 :: 		
0x0755	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,837 :: 		
0x0756	0x3001      	MOVLW      1
;__Lib_MathDouble.c,838 :: 		
0x0757	0x00A0      	MOVWF      __math_tempbD
;__Lib_MathDouble.c,839 :: 		
DALIGN32OK:
;__Lib_MathDouble.c,840 :: 		
0x0758	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,841 :: 		
0x0759	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,842 :: 		
0x075A	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,843 :: 		
0x075B	0x2F62      	GOTO       ALTB32
;__Lib_MathDouble.c,845 :: 		
0x075C	0x307E      	MOVLW      126
;__Lib_MathDouble.c,846 :: 		
0x075D	0x0720      	ADDWF      __math_tempbD, 0
;__Lib_MathDouble.c,847 :: 		
0x075E	0x07F3      	ADDWF      R3, 1
;__Lib_MathDouble.c,848 :: 		
0x075F	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,849 :: 		
0x0760	0x2FC2      	GOTO       JPDSETFOV32
;__Lib_MathDouble.c,850 :: 		
0x0761	0x2F67      	GOTO       DARGOK32
;__Lib_MathDouble.c,851 :: 		
ALTB32:
;__Lib_MathDouble.c,852 :: 		
0x0762	0x307E      	MOVLW      126
;__Lib_MathDouble.c,853 :: 		
0x0763	0x0720      	ADDWF      __math_tempbD, 0
;__Lib_MathDouble.c,854 :: 		
0x0764	0x07F3      	ADDWF      R3, 1
;__Lib_MathDouble.c,855 :: 		
0x0765	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,856 :: 		
0x0766	0x2FC5      	GOTO       JPDSETFUN32
;__Lib_MathDouble.c,857 :: 		
DARGOK32:
;__Lib_MathDouble.c,858 :: 		
0x0767	0x3018      	MOVLW      24
;__Lib_MathDouble.c,860 :: 		
0x0768	0x07FA      	ADDWF      R10, 1
;__Lib_MathDouble.c,861 :: 		
DLOOP32:
;__Lib_MathDouble.c,862 :: 		
0x0769	0x0DFD      	RLF        R13, 1
;__Lib_MathDouble.c,863 :: 		
0x076A	0x0DFC      	RLF        R12, 1
;__Lib_MathDouble.c,864 :: 		
0x076B	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,865 :: 		
0x076C	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,866 :: 		
0x076D	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,867 :: 		
0x076E	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,868 :: 		
0x076F	0x0DA0      	RLF        __math_tempbD, 1
;__Lib_MathDouble.c,870 :: 		
0x0770	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,871 :: 		
0x0771	0x02F0      	SUBWF      R0, 1
;__Lib_MathDouble.c,872 :: 		
0x0772	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,873 :: 		
0x0773	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,874 :: 		
0x0774	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,876 :: 		
0x0775	0x02F1      	SUBWF      R1, 1
;__Lib_MathDouble.c,877 :: 		
0x0776	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,878 :: 		
0x0777	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,879 :: 		
0x0778	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,881 :: 		
0x0779	0x02F2      	SUBWF      R2, 1
;__Lib_MathDouble.c,882 :: 		
0x077A	0x0D76      	RLF        R6, 0
;__Lib_MathDouble.c,883 :: 		
0x077B	0x04A0      	IORWF      __math_tempbD, 1
;__Lib_MathDouble.c,884 :: 		
0x077C	0x1C20      	BTFSS      __math_tempbD, 0
;__Lib_MathDouble.c,885 :: 		
0x077D	0x2F80      	GOTO       DREST32
;__Lib_MathDouble.c,886 :: 		
0x077E	0x147D      	BSF        R13, 0
;__Lib_MathDouble.c,887 :: 		
0x077F	0x2F8B      	GOTO       DOK32
;__Lib_MathDouble.c,888 :: 		
DREST32:
;__Lib_MathDouble.c,889 :: 		
0x0780	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,890 :: 		
0x0781	0x07F0      	ADDWF      R0, 1
;__Lib_MathDouble.c,891 :: 		
0x0782	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,892 :: 		
0x0783	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,893 :: 		
0x0784	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,895 :: 		
0x0785	0x07F1      	ADDWF      R1, 1
;__Lib_MathDouble.c,896 :: 		
0x0786	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,897 :: 		
0x0787	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,898 :: 		
0x0788	0x0A76      	INCF       R6, 0
;__Lib_MathDouble.c,899 :: 		
0x0789	0x07F2      	ADDWF      R2, 1
;__Lib_MathDouble.c,900 :: 		
0x078A	0x107D      	BCF        R13, 0
;__Lib_MathDouble.c,901 :: 		
DOK32:
;__Lib_MathDouble.c,903 :: 		
0x078B	0x03FA      	DECF       R10, 1
;__Lib_MathDouble.c,904 :: 		
0x078C	0x301F      	MOVLW      31
;__Lib_MathDouble.c,905 :: 		
0x078D	0x057A      	ANDWF      R10, 0
;__Lib_MathDouble.c,906 :: 		
0x078E	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,907 :: 		
0x078F	0x2F69      	GOTO       DLOOP32
;__Lib_MathDouble.c,909 :: 		
0x0790	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,910 :: 		
0x0791	0x1C7D      	BTFSS      R13, 0
;__Lib_MathDouble.c,911 :: 		
0x0792	0x2FB2      	GOTO       DIV32OK
;__Lib_MathDouble.c,912 :: 		
0x0793	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,913 :: 		
0x0794	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,914 :: 		
0x0795	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,915 :: 		
0x0796	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,916 :: 		
0x0797	0x0DA0      	RLF        __math_tempbD, 1
;__Lib_MathDouble.c,918 :: 		
0x0798	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,919 :: 		
0x0799	0x02F0      	SUBWF      R0, 1
;__Lib_MathDouble.c,920 :: 		
0x079A	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,921 :: 		
0x079B	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,922 :: 		
0x079C	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,923 :: 		
0x079D	0x02F1      	SUBWF      R1, 1
;__Lib_MathDouble.c,924 :: 		
0x079E	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,925 :: 		
0x079F	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,926 :: 		
0x07A0	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,927 :: 		
0x07A1	0x02F2      	SUBWF      R2, 1
;__Lib_MathDouble.c,928 :: 		
0x07A2	0x0D76      	RLF        R6, 0
;__Lib_MathDouble.c,929 :: 		
0x07A3	0x0420      	IORWF      __math_tempbD, 0
;__Lib_MathDouble.c,930 :: 		
0x07A4	0x3901      	ANDLW      1
;__Lib_MathDouble.c,931 :: 		
0x07A5	0x07FD      	ADDWF      R13, 1
;__Lib_MathDouble.c,932 :: 		
0x07A6	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,933 :: 		
0x07A7	0x0AFC      	INCF       R12, 1
;__Lib_MathDouble.c,934 :: 		
0x07A8	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,935 :: 		
0x07A9	0x0AF8      	INCF       R8, 1
;__Lib_MathDouble.c,936 :: 		
0x07AA	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,937 :: 		
0x07AB	0x2FB2      	GOTO       DIV32OK
;__Lib_MathDouble.c,938 :: 		
0x07AC	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,939 :: 		
0x07AD	0x0CFC      	RRF        R12, 1
;__Lib_MathDouble.c,940 :: 		
0x07AE	0x0CFD      	RRF        R13, 1
;__Lib_MathDouble.c,941 :: 		
0x07AF	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,942 :: 		
0x07B0	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,943 :: 		
0x07B1	0x2FC2      	GOTO       JPDSETFOV32
;__Lib_MathDouble.c,944 :: 		
DIV32OK:
;__Lib_MathDouble.c,945 :: 		
0x07B2	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,946 :: 		
0x07B3	0x13F8      	BCF        R8, 7
;__Lib_MathDouble.c,947 :: 		
0x07B4	0x0878      	MOVF       R8, 0
;__Lib_MathDouble.c,948 :: 		
0x07B5	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,949 :: 		
0x07B6	0x087C      	MOVF       R12, 0
;__Lib_MathDouble.c,950 :: 		
0x07B7	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,951 :: 		
0x07B8	0x087D      	MOVF       R13, 0
;__Lib_MathDouble.c,952 :: 		
0x07B9	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,954 :: 		
0x07BA	0x3000      	MOVLW      0
;__Lib_MathDouble.c,956 :: 		
0x07BB	0x2FC7      	GOTO       DIV32EEE
;__Lib_MathDouble.c,957 :: 		
JPDSETFDZ32:
;__Lib_MathDouble.c,958 :: 		
0x07BC	0x3001      	MOVLW      1
;__Lib_MathDouble.c,961 :: 		
0x07BD	0x247F      	CALL       _SETFDZ32
;__Lib_MathDouble.c,963 :: 		
0x07BE	0x2FC7      	GOTO       DIV32EEE
;__Lib_MathDouble.c,964 :: 		
JPDRES032:
;__Lib_MathDouble.c,965 :: 		
0x07BF	0x3002      	MOVLW      2
;__Lib_MathDouble.c,968 :: 		
0x07C0	0x21B6      	CALL       _RES032
;__Lib_MathDouble.c,970 :: 		
0x07C1	0x2FC7      	GOTO       DIV32EEE
;__Lib_MathDouble.c,971 :: 		
JPDSETFOV32:
;__Lib_MathDouble.c,972 :: 		
0x07C2	0x3004      	MOVLW      4
;__Lib_MathDouble.c,975 :: 		
0x07C3	0x21AA      	CALL       _SETFOV32
;__Lib_MathDouble.c,977 :: 		
0x07C4	0x2FC7      	GOTO       DIV32EEE
;__Lib_MathDouble.c,978 :: 		
JPDSETFUN32:
;__Lib_MathDouble.c,979 :: 		
0x07C5	0x3008      	MOVLW      8
